ALL_DAEs (including all genes within 10kb of DAEs)																		
# GO	NS	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	enrichment	p_fdr_bh	study_items								
...GO:0007267	BP	cell-cell signaling	42/1165	169/9865	2.77E-06	4	42	2.104426442	0.002887752	LALB_v3.1_00165, LALB_v3.1_00437, LALB_v3.1_00538, LALB_v3.1_00989, LALB_v3.1_01515, LALB_v3.1_01936, LALB_v3.1_02389, LALB_v3.1_03151, LALB_v3.1_03168, LALB_v3.1_03364, LALB_v3.1_03583, LALB_v3.1_03603, LALB_v3.1_03776, LALB_v3.1_03887, LALB_v3.1_03936, LALB_v3.1_04612, LALB_v3.1_04626, LALB_v3.1_05444, LALB_v3.1_05966, LALB_v3.1_05997, LALB_v3.1_06054, LALB_v3.1_06815, LALB_v3.1_07446, LALB_v3.1_07620, LALB_v3.1_07689, LALB_v3.1_07812, LALB_v3.1_08061, LALB_v3.1_08149, LALB_v3.1_08310, LALB_v3.1_08348, LALB_v3.1_08349, LALB_v3.1_08351, LALB_v3.1_08420, LALB_v3.1_08464, LALB_v3.1_08809, LALB_v3.1_08857, LALB_v3.1_08927, LALB_v3.1_09119, LALB_v3.1_09278, LALB_v3.1_09988, LALB_v3.1_09992, LALB_v3.1_10812								
...GO:0023052	BP	signaling	42/1165	170/9865	2.95E-06	3	42	2.092047463	0.002887752	LALB_v3.1_00165, LALB_v3.1_00437, LALB_v3.1_00538, LALB_v3.1_00989, LALB_v3.1_01515, LALB_v3.1_01936, LALB_v3.1_02389, LALB_v3.1_03151, LALB_v3.1_03168, LALB_v3.1_03364, LALB_v3.1_03583, LALB_v3.1_03603, LALB_v3.1_03776, LALB_v3.1_03887, LALB_v3.1_03936, LALB_v3.1_04612, LALB_v3.1_04626, LALB_v3.1_05444, LALB_v3.1_05966, LALB_v3.1_05997, LALB_v3.1_06054, LALB_v3.1_06815, LALB_v3.1_07446, LALB_v3.1_07620, LALB_v3.1_07689, LALB_v3.1_07812, LALB_v3.1_08061, LALB_v3.1_08149, LALB_v3.1_08310, LALB_v3.1_08348, LALB_v3.1_08349, LALB_v3.1_08351, LALB_v3.1_08420, LALB_v3.1_08464, LALB_v3.1_08809, LALB_v3.1_08857, LALB_v3.1_08927, LALB_v3.1_09119, LALB_v3.1_09278, LALB_v3.1_09988, LALB_v3.1_09992, LALB_v3.1_10812								
.......GO:0097485	BP	neuron projection guidance	37/1165	150/9865	9.41E-06	7	37	2.088726753	0.005633534	LALB_v3.1_00062, LALB_v3.1_00419, LALB_v3.1_00437, LALB_v3.1_00443, LALB_v3.1_00849, LALB_v3.1_01515, LALB_v3.1_01787, LALB_v3.1_02013, LALB_v3.1_04018, LALB_v3.1_04457, LALB_v3.1_04592, LALB_v3.1_04800, LALB_v3.1_04957, LALB_v3.1_05275, LALB_v3.1_05815, LALB_v3.1_06024, LALB_v3.1_06107, LALB_v3.1_06343, LALB_v3.1_07140, LALB_v3.1_07610, LALB_v3.1_07898, LALB_v3.1_07899, LALB_v3.1_08090, LALB_v3.1_08347, LALB_v3.1_08395, LALB_v3.1_08402, LALB_v3.1_08644, LALB_v3.1_08665, LALB_v3.1_08682, LALB_v3.1_08689, LALB_v3.1_08927, LALB_v3.1_09278, LALB_v3.1_09364, LALB_v3.1_09380, LALB_v3.1_09381, LALB_v3.1_09945, LALB_v3.1_10682								
........GO:0007411	BP	axon guidance	36/1165	146/9865	1.29E-05	8	36	2.087953436	0.00659654	LALB_v3.1_00062, LALB_v3.1_00419, LALB_v3.1_00437, LALB_v3.1_00849, LALB_v3.1_01515, LALB_v3.1_01787, LALB_v3.1_02013, LALB_v3.1_04018, LALB_v3.1_04457, LALB_v3.1_04592, LALB_v3.1_04800, LALB_v3.1_04957, LALB_v3.1_05275, LALB_v3.1_05815, LALB_v3.1_06024, LALB_v3.1_06107, LALB_v3.1_06343, LALB_v3.1_07140, LALB_v3.1_07610, LALB_v3.1_07898, LALB_v3.1_07899, LALB_v3.1_08090, LALB_v3.1_08347, LALB_v3.1_08395, LALB_v3.1_08402, LALB_v3.1_08644, LALB_v3.1_08665, LALB_v3.1_08682, LALB_v3.1_08689, LALB_v3.1_08927, LALB_v3.1_09278, LALB_v3.1_09364, LALB_v3.1_09380, LALB_v3.1_09381, LALB_v3.1_09945, LALB_v3.1_10682								
...GO:0019904	MF	protein domain specific binding	43/1165	183/9865	7.48E-06	3	43	1.989704261	0.025262073	LALB_v3.1_00419, LALB_v3.1_01051, LALB_v3.1_01512, LALB_v3.1_01515, LALB_v3.1_01846, LALB_v3.1_02103, LALB_v3.1_02200, LALB_v3.1_02566, LALB_v3.1_02771, LALB_v3.1_03215, LALB_v3.1_03366, LALB_v3.1_03776, LALB_v3.1_03887, LALB_v3.1_04022, LALB_v3.1_04350, LALB_v3.1_04516, LALB_v3.1_04591, LALB_v3.1_04626, LALB_v3.1_04999, LALB_v3.1_05077, LALB_v3.1_05724, LALB_v3.1_05981, LALB_v3.1_06023, LALB_v3.1_06143, LALB_v3.1_06427, LALB_v3.1_07308, LALB_v3.1_07351, LALB_v3.1_07813, LALB_v3.1_07970, LALB_v3.1_08146, LALB_v3.1_08311, LALB_v3.1_08348, LALB_v3.1_08420, LALB_v3.1_08466, LALB_v3.1_08467, LALB_v3.1_08635, LALB_v3.1_08637, LALB_v3.1_09402, LALB_v3.1_09947, LALB_v3.1_09963, LALB_v3.1_10499, LALB_v3.1_10544, LALB_v3.1_10717								
...GO:0009888	BP	tissue development	40/1165	175/9865	4.23E-05	3	40	1.935499693	0.016280867	LALB_v3.1_00052, LALB_v3.1_00053, LALB_v3.1_00841, LALB_v3.1_00893, LALB_v3.1_01245, LALB_v3.1_01515, LALB_v3.1_01936, LALB_v3.1_02034, LALB_v3.1_02104, LALB_v3.1_03293, LALB_v3.1_03501, LALB_v3.1_03582, LALB_v3.1_04174, LALB_v3.1_04591, LALB_v3.1_04612, LALB_v3.1_05121, LALB_v3.1_05193, LALB_v3.1_05489, LALB_v3.1_05525, LALB_v3.1_05546, LALB_v3.1_05766, LALB_v3.1_06018, LALB_v3.1_06054, LALB_v3.1_06178, LALB_v3.1_06355, LALB_v3.1_06567, LALB_v3.1_07306, LALB_v3.1_07308, LALB_v3.1_07816, LALB_v3.1_08090, LALB_v3.1_08221, LALB_v3.1_08289, LALB_v3.1_08634, LALB_v3.1_08921, LALB_v3.1_08976, LALB_v3.1_09380, LALB_v3.1_09381, LALB_v3.1_09489, LALB_v3.1_10240, LALB_v3.1_10546								
..GO:0007155	BP	cell adhesion	43/1165	194/9865	3.92E-05	2	43	1.876885978	0.015634037	LALB_v3.1_00112, LALB_v3.1_00310, LALB_v3.1_00437, LALB_v3.1_00442, LALB_v3.1_00841, LALB_v3.1_00972, LALB_v3.1_02200, LALB_v3.1_02231, LALB_v3.1_02233, LALB_v3.1_02664, LALB_v3.1_02759, LALB_v3.1_04457, LALB_v3.1_04846, LALB_v3.1_05173, LALB_v3.1_05406, LALB_v3.1_05525, LALB_v3.1_05663, LALB_v3.1_05981, LALB_v3.1_06018, LALB_v3.1_06107, LALB_v3.1_06178, LALB_v3.1_06251, LALB_v3.1_06474, LALB_v3.1_06828, LALB_v3.1_07140, LALB_v3.1_07349, LALB_v3.1_07455, LALB_v3.1_07820, LALB_v3.1_07898, LALB_v3.1_07899, LALB_v3.1_07918, LALB_v3.1_07925, LALB_v3.1_08221, LALB_v3.1_08348, LALB_v3.1_08349, LALB_v3.1_08351, LALB_v3.1_08635, LALB_v3.1_08637, LALB_v3.1_08644, LALB_v3.1_08947, LALB_v3.1_08976, LALB_v3.1_09609, LALB_v3.1_10682								
......GO:0031175	BP	neuron projection development	46/1165	215/9865	6.03E-05	6	46	1.811717736	0.021659186	LALB_v3.1_00062, LALB_v3.1_00419, LALB_v3.1_00437, LALB_v3.1_00443, LALB_v3.1_00849, LALB_v3.1_01515, LALB_v3.1_01787, LALB_v3.1_02013, LALB_v3.1_02017, LALB_v3.1_03293, LALB_v3.1_03612, LALB_v3.1_04018, LALB_v3.1_04457, LALB_v3.1_04588, LALB_v3.1_04592, LALB_v3.1_04800, LALB_v3.1_04957, LALB_v3.1_05275, LALB_v3.1_05546, LALB_v3.1_05815, LALB_v3.1_06024, LALB_v3.1_06107, LALB_v3.1_06343, LALB_v3.1_07140, LALB_v3.1_07610, LALB_v3.1_07898, LALB_v3.1_07899, LALB_v3.1_08090, LALB_v3.1_08347, LALB_v3.1_08348, LALB_v3.1_08395, LALB_v3.1_08402, LALB_v3.1_08644, LALB_v3.1_08665, LALB_v3.1_08682, LALB_v3.1_08689, LALB_v3.1_08927, LALB_v3.1_08947, LALB_v3.1_09278, LALB_v3.1_09364, LALB_v3.1_09380, LALB_v3.1_09381, LALB_v3.1_09801, LALB_v3.1_09803, LALB_v3.1_09945, LALB_v3.1_10682								
..GO:0007610	BP	behavior	66/1165	314/9865	1.97E-06	2	66	1.779858396	0.002606931	LALB_v3.1_00052, LALB_v3.1_00053, LALB_v3.1_00165, LALB_v3.1_00275, LALB_v3.1_00419, LALB_v3.1_00532, LALB_v3.1_00605, LALB_v3.1_00720, LALB_v3.1_00849, LALB_v3.1_00865, LALB_v3.1_01161, LALB_v3.1_01515, LALB_v3.1_02017, LALB_v3.1_02034, LALB_v3.1_02379, LALB_v3.1_02389, LALB_v3.1_02697, LALB_v3.1_02729, LALB_v3.1_02775, LALB_v3.1_02969, LALB_v3.1_03258, LALB_v3.1_03505, LALB_v3.1_03521, LALB_v3.1_03583, LALB_v3.1_03660, LALB_v3.1_03886, LALB_v3.1_03887, LALB_v3.1_04018, LALB_v3.1_04115, LALB_v3.1_04239, LALB_v3.1_04591, LALB_v3.1_05079, LALB_v3.1_05546, LALB_v3.1_05766, LALB_v3.1_06097, LALB_v3.1_06107, LALB_v3.1_07299, LALB_v3.1_07306, LALB_v3.1_07349, LALB_v3.1_07593, LALB_v3.1_07620, LALB_v3.1_07689, LALB_v3.1_07860, LALB_v3.1_07862, LALB_v3.1_07871, LALB_v3.1_07899, LALB_v3.1_08061, LALB_v3.1_08310, LALB_v3.1_08349, LALB_v3.1_08351, LALB_v3.1_08368, LALB_v3.1_08627, LALB_v3.1_08633, LALB_v3.1_08644, LALB_v3.1_09078, LALB_v3.1_09085, LALB_v3.1_09119, LALB_v3.1_09242, LALB_v3.1_09364, LALB_v3.1_09486, LALB_v3.1_09511, LALB_v3.1_09512, LALB_v3.1_09786, LALB_v3.1_10027, LALB_v3.1_10618, LALB_v3.1_10777								
...GO:0070161	CC	anchoring junction	43/1165	209/9865	0.000295278	3	43	1.742181243	0.045236633	LALB_v3.1_00841, LALB_v3.1_01515, LALB_v3.1_01652, LALB_v3.1_02200, LALB_v3.1_02526, LALB_v3.1_02566, LALB_v3.1_02664, LALB_v3.1_02759, LALB_v3.1_03501, LALB_v3.1_04103, LALB_v3.1_04368, LALB_v3.1_04457, LALB_v3.1_04554, LALB_v3.1_04626, LALB_v3.1_04667, LALB_v3.1_05173, LALB_v3.1_05525, LALB_v3.1_05663, LALB_v3.1_05815, LALB_v3.1_05930, LALB_v3.1_05981, LALB_v3.1_06058, LALB_v3.1_06107, LALB_v3.1_06143, LALB_v3.1_06178, LALB_v3.1_06474, LALB_v3.1_06480, LALB_v3.1_07140, LALB_v3.1_07576, LALB_v3.1_07820, LALB_v3.1_07870, LALB_v3.1_07918, LALB_v3.1_07921, LALB_v3.1_08061, LALB_v3.1_08151, LALB_v3.1_08194, LALB_v3.1_08621, LALB_v3.1_08947, LALB_v3.1_09242, LALB_v3.1_09511, LALB_v3.1_09512, LALB_v3.1_10612, LALB_v3.1_10682								
